Type,Name,Status,DEFCON,Genre,No of Pages,Score /5,Author,Publisher,Publishing/Release Year,Summary,Purchase Date,Start Date,End Date,Total Time,Book Type 1,Notes Availability,Completed Year
Book,Start Your Own Enterprise,Yet to start,1,Startup,294,,Prateek Jain,Notion Press,2020,The must know-how guide for an entrepreneur,,,,,Paperback,,
Book,100 Dollar Startup,Yet to start,2,"Business, Entrepreneurship, Startup",304,,Chris Guillebeau,,,"Fire your boss, do what you love and work better to live more",,,,,Paperback,,
Book,Range,Yet to start,1,"Science, Self Help",305,,David Epstein,Pan Books,2019,How Generalists Triumph in a Specialized World,,,,,Paperback,,
Book,The Passion Economy,Yet to start,3,Economics,307,,Adam Davidson,,,The new rules for thriving in the twenty first century,,,,,Paperback,,
Book,Pragmarketism,Yet to start,2,Marketing,308,,"Arvind Bhandari, Trupti Bhandari",Harper Collins Publishers,2020,Pragmatic Marketing insights for winning indian consumers,,,,,Hardcover,,
Book,The Lean Product Playbook,Yet to start,1,Startup,309,,Dan Oslen,,,How to innovate with MVP and rapid customer feedback,,,,,Ebook,,
Book,System Design Interview,Yet to start,1,"Interview, System Design",312,,Alex Xu,,,,,,,,Ebook,,
Book,The 5 AM Club,Yet to start,1,Self Help,314,,Robin Sharma,Jaico,2018,Own your morning and elevate your life,"October 4, 2021",,,,Paperback,,
Book,A Mind for Numbers,Yet to start,1,"Science, Self Help",316,,Barbara Oakley,,,How to excel at math and science (Even if you flanked algebra),,,,,Ebook,,
Book,The Corporate Chanakya,Yet to start,2,Entrepreneurship,318,,Radhakrishnan Pillai,,,The successful management by chanakya way,,,,,Ebook,,
Book,Scale Smart,Yet to start,1,Startup,319,,Anirudh Narayan,,,How to get your first 1000 customers in India,,,,,Ebook,,
Book,Click,Yet to start,2,Entrepreneurship,320,,"Jogmohan Bhanver, Komal Bhanver",HE Book,2018,The amazing story of e-commerce boom 💥 in india and where it is headed,,,,,Ebook,,
Book,Your Next Five Moves,Yet to start,3,"Business, Entrepreneurship, Startup",320,,Patrick Bet-David,,,Master the art of Business Strategy,,,,,Paperback,,
Book,Good Strategy/Bad Strategy,Yet to start,2,Entrepreneurship,321,,Richard Rumelt,Profile Books,,The differences and why it matters,,,,,Paperback,,
Book,How to Talk to Anyone,Yet to start,1,"Communication, Self Help",321,,Leil Lowndes,Harper Element,,92 Little Tricks for Big Success,,,,,Paperback,,
Book,How I Built This,Yet to start,1,"Entrepreneurship, Startup",322,,Guy Raz,,,The unexpected paths to success from the world's most inspiring entrepreuneurs,,,,,Ebook,,
Book,Blitzscaling,Yet to start,1,"Business, Entrepreneurship, Startup",326,,"Chris Yeh, Reid Hoffman",,,The lightining fast path to building billion dollar companies,,,,,Ebook,,
Book,The Telomere Effect,Yet to start,3,Health,326,,"Elissa Epel, Elizabeth Blackburn",,,"A Revolutionary approach to living younger, healthier and longer",,,,,Ebook,,
Book,How to Transform your Ideas into Software Products,Yet to start,1,"Computer Science, Startup",329,,Poornima Vijayashanker,,,A step-by-step guide for validating your ideas and bringing them to life!,,,,,Ebook,,
Book,The Art of Thinking Clearly,Yet to start,2,Self Help,336,,Rolf Dobeli,,,,,,,,Hardcover,,
Book,The Millionaire Fastlane,Yet to start,2,Finance,338,,MJ Demarco,Viperion Corporation,2011,Crack the code to wealth and live rich for a lifetime,,,,,Ebook,,
Book,Beyond Entrepreneurship 2.0,Yet to start,1,"Entrepreneurship, Startup",340,,"Bill Lazier, Jim Collins",Random House Business,,Turning your business into an enduring great company,,,,,Ebook,,
Book,Why We Sleep,Yet to start,1,"Health, Science",342,,Matthew Walker,Penguin Group,2017,The new science of sleep and dreams,,,,,Paperback,,
Book,High Growth 💹 Handbook,Yet to start,1,"Marketing, Startup",344,,Elad Gill,,,Scaling startup from 10 to 10000 people,,,,,Ebook,,
Book,Hacking Growth,Yet to start,1,Startup,345,,"Morgan Brown, Sean Ellis",Virgin Books,,How today's fastest-growing companies drive breakout success,,,,,Ebook,,
Book,Loonshots,Yet to start,2,Creativity,349,,Safi Bahcall,St. Martin Press Book,,"Nature the crazy ideas that win wars, cure diseases, and transform industries",,,,,Ebook,,
Book,No Limits,Yet to start,2,"Productivity, Self Help",355,,Mukesh Bansal,Westland Publications,,The art and science of high performance,,,,,Paperback,,
Book,Internet Marketing,Yet to start,3,Marketing,359,,Moutusy Maity,Oxford,2017,A practical approach in the Indian context,,,,,Paperback,,
Book,The Startup Way,Yet to start,2,"Entrepreneurship, Startup",370,,Eric Ries,,,How entrepreneurial management transforms culture and drives growth,,,,,Ebook,,
Book,The Cold Start Problem,Yet to start,1,"Marketing, Startup",370,,Andrew Chen,Random House Business,2021,Using network effect to scale your product,,,,,Paperback,,
Book,The 4-Hour Work Week,Yet to start,1,"Entrepreneurship, Self Help",377,,Timothy Ferriss,Vermillion,2009,"Escape the 9-5, Live Anywhere and Join the New Rich","April 28, 2021",,,,Paperback,,
Book,Shoe Dog,Yet to start,2,Biography,386,,Phil Knight,Simon & Schuster,,,,,,,Paperback,,
Book,50 Business Classics,Yet to start,2,Business,390,,Tom Butler-Bowdon,,,"Your shortcut to the most important ideas on innovation, management, and strategy",,,,,Paperback,,
Book,Unscripted,Yet to start,3,Entrepreneurship,406,,MJ Demarco,Viperion Corporation,,"Life, Liberty, and the Pursuit of entrepreneurship ",,,,,Ebook,,
Book,The Startup Playbook,Yet to start,1,Startup,422,,"Rajat Bharagava, Will Herman",,2018,Founder-to-Founder advice from two startup veterans,"April 15, 2021",,,,Ebook,Yes,
Book,The Personal MBA,Yet to start,1,Entrepreneurship,436,,Josh Kaufman,Penguin Group,2010,A world class business education in a single volume,,,,,Paperback,,
Book,Zero to Sold,Yet to start,1,"Entrepreneurship, Startup",454,,Arvid Kahl,,,"How to start, run, sell a bootstrapped business",,,,,Ebook,,
Book,Innovators,Yet to start,1,Entrepreneurship,488,,Walter Issacson,Simon & Schuster,,"How a Group of Inventors, Hackers, Geniuses and Geeks Created the Digital Revolution","April 20, 2021",,,,Paperback,,
Book,Cracking the Coding Interview,Yet to start,1,"Computer Science, Interview",542,,Gayle Laakmann Mcdowell,,2015,189 Programming Questions and Solutions,,,,,Paperback,,
Book,A Short History Of Nearly Everything,Yet to start,3,History,666,,Bill Bryson,Black Swan,,A Journey Through Space and Time,,,,,Paperback,,
Book,Kochland,Yet to start,3,Business,687,,Christopher Leonard,Simon & Schuster,,The secret history of koch industries and corporate power in america,,,,,Paperback,,
