Name,Author,Book Type,Book Type 1,Completed Year,DEFCON,End Date,Genre,Link,No of Pages,Notes Availability,Priority,Publisher,Publishing/Release Year,Purchase Date,Score /5,Start Date,Status,Summary,Total Time,Type
Trillion Dollar Coach,"Alan Eagle, Eric Schmidt, Jonathan Rosenberg",,Hardcover,2020,1,"December 23, 2020",Entrepreneurship,,200,Yes,,John Murray,,,⭐️⭐️⭐️⭐️⭐️,"December 20, 2020",Finished,The leadership handbook of silicon valley's bill campbell,3,Book
How to Talk to Anyone,Leil Lowndes,,Paperback,,1,,"Communication, Self Help",,321,,High,Harper Element,,,,,Yet to start,92 Little Tricks for Big Success,,Book
Funding your Startup,"Dhruv Nath, Sushanto Mitra",,Paperback,2021,1,"March 2, 2021",Startup,,239,No,Highest,Penguin Group,2020,,⭐️⭐️⭐️⭐️,"February 26, 2021",Finished,Funding you start-up and other nightmares,4,Book
The 12-Week Fitness Project,Rujuta Diwekar,,Paperback,2021,1,"January 7, 2021",Health,,193,No,,Jaggernaut,,,⭐️⭐️⭐️⭐️⭐️,"January 6, 2021",Finished,The fitness programme that helped 1 lakh+ people transform themselves,1,Book
Speak to win,Brian Tracy,,Paperback,,1,,"Communication, Self Help",,194,No,Highest,Amacom,2008,,,,Yet to start,How to present with power in any situation,,Book
The Latte Factor,"David Bach, John David Mann",,Paperback,2021,1,"January 13, 2021",Finance,,146,No,,Atria,2019,,⭐️⭐️⭐️⭐️⭐️,"January 13, 2021",Finished,Why you don't have to be rich to live rich,0,Book
Straight Talk for Startups,"Jantoon Reigersman, Randy Komisar",,Hardcover,,1,,Startup,,278,No,Highest,Harper Collins Publishers,,,,,Yet to start,"100 insider rules for beating the odds from mastering the fundamentals to selecting investors, fundraising, managing boards, and achieving liquidity",,Book
Marketing Made Simple,"Donald Miller, J.J. Peterson",,Paperback,2021,1,"January 20, 2021",Marketing,https://rickkettner.com/marketing-made-simple-book-summary/,184,Yes,,Harper Collins Publishers,2020,,⭐️⭐️⭐️⭐️⭐️,"January 18, 2021",Finished,A step-by-step story brand guide for any business,2,Book
Business made simple,Donald Miller,,Ebook,,1,,"Business, Entrepreneurship, Startup",,219,No,Highest,,2021,"January 19, 2021",,,Yet to start,"60 days to master leadership, sales, marketing, execution, management, personal productivity and more.",,Book
9 Timeless Nuggets,Bharat Bambawale,,Hardcover,2021,1,"January 26, 2021",Marketing,,192,Yes,Highest,Penguin Group,2020,"January 23, 2021",⭐️⭐️⭐️⭐️⭐️,"January 23, 2021",Finished,Essential Marketing for the young and ambitious,3,Book
Hooked,Nir Eyal,,Hardcover,2021,1,"February 10, 2021",Entrepreneurship,,246,Yes,Highest,Penguin Group,,"August 19, 2020",⭐️⭐️⭐️⭐️⭐️,"February 9, 2021",Finished,How to build habit forming products,1,Book
Always Day One,Alex Kantrowitz,,Paperback,2021,1,"February 12, 2021",Business,,272,Yes,Highest,Penguin Group,2020,,⭐️⭐️⭐️⭐️,"February 10, 2021",Finished,How the tech titans stay on top and how you can too,2,Book
Deep Work,Cal Newport,,Paperback,2021,1,"April 16, 2021","Productivity, Self Help",,296,Yes,Highest,Piatkus,2016,,⭐️⭐️⭐️⭐️⭐️,"April 13, 2021",Finished,Rules for success in a distracted world,3,Book
How to win friends & influence people,Dale Carnegie,,Paperback,,1,,"Communication, Self Help",,278,,Highest,Fingerprint Classics,,,,,Reading,The only book you need to lead you to success,,Book
